readme,text,plan,label
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,Install the specific versions of every package from `requirements.txt` in a new conda environment:,,step2
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,conda create --name gsft python=3.9,,step2.cmd1
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,conda activate gsft,,step2.cmd2
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,pip install -r requirements.txt,,step3.cmd3
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,"To ensure that Python paths are properly defined, update the `~/.bashrc` by adding the following lines",,step4
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,export GSFT_PATH=/path_to_gsfc,,step4.cmd1
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,export PYTHONPATH=$PYTHONPATH:/$GSFT_PATH,,step4.cmd2
https://raw.githubusercontent.com/EricssonResearch/Line-Based-Room-Segmentation-and-EDF/release/README.md,## Installation,,
https://raw.githubusercontent.com/EricssonResearch/Line-Based-Room-Segmentation-and-EDF/release/README.md,The project can be installed by running the following command in your terminal:,source,step1
https://raw.githubusercontent.com/EricssonResearch/Line-Based-Room-Segmentation-and-EDF/release/README.md,pip install -r requirements.txt,,step1.cmd1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,## Installation,,
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,### Step1: Download VIGA,,step1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,Download VIGA with Git from GitHub,source,step1.plan1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,git clone https://github.com/viralInformatics/VIGA.git,,step1.plan1.cmd
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,or Download ZIP to local,binary,step1.plan2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,### Step 2: Download Database,,step2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,1. download taxdmp.zip [Index of /pub/taxonomy (nih.gov)](https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/) and unzip taxdmp.zip and put it in ./db/,,step2.substep1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,"2. download ""prot.accession2taxid"" file from https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/accession2taxid/",,step2.substep2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,"3. download ""RefSeqVirusProtein"" file from",,step2.substep3
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,wget -c ftp.ncbi.nlm.nih.gov/refseq/release/viral/viral.1.protein.faa.gz,,step2.substep3.cmd1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,gzip -d viral.1.protein.faa.gz,,step2.substep3.cmd2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,mv viral.1.protein.faa RefSeqVirusProtein,,step2.substep3.cmd3
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,"4. download ""nr"" file from",,step2.substep4
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,wget -c ftp://ftp.ncbi.nlm.nih.gov/blast/db/FASTA/nr.gz,,step2.substep4.cmd1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,or ascp -T  -i  asperaweb_id_dsa.openssh --host=ftp.ncbi.nih.gov --user=anonftp --mode=recv /blast/db/FASTA/nr.gz ./,,step2.substep4.cmd2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,gzip -d nr.gz,,step2.substep4.cmd3
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,5. Use Diamond v2.0.11.149 to create two separate databases as the indexing libraries in the current version are incompatible with each other.,,step2.substep5
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,"6. In order to set up a reference database for DIAMOND, the makedb command needs to be executed with the following command line:",,step2.substep6
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,diamond makedb --in YourPath/RefSeqVirusProtein  -d Diamond_RefSeqVirusProtein --taxonmap YourPath/prot.accession2taxid --taxonnodes YourPath/nodes.dmp,,step2.substep6.cmd1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,diamond makedb --in nr -d Dimond_nr --taxonmap YourPath/prot.accession2taxid --taxonnodes YourPath/nodes.dmp,,step2.substep6.cmd2
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,### Step 3: Installation of dependent software,,step3
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,#### Installing Some Software Using Conda,,step3.substep1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,conda install fastp=0.12.4 trinity=2.8.5 diamond=2.0.11.149 ragtag=2.1.0 quast=5.0.2,,step3.substep1.cmd1
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,#### Manual Installation of MetaCompass,,extra.info
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,https://github.com/marbl/MetaCompass,,extra.info
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,### Step 4: Python Dependencies,,step4
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,Base on python 3.6.8,,step4.extra.info
https://raw.githubusercontent.com/viralInformatics/VIGA/master/README.md,pip install pandas=1.1.5 numpy=1.19.5  matplotlib=3.3.4  biopython=1.79,,step4.cmd1
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,**INSTALLATION FOR VERSION 1.1.6**,,
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,"NRN-EZ was built with PyInstaller 3.6, and requires the following languages and libraries:",,extra.info
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,•       Python 3.6.9 and higher (currently up to 3.10),,extra.info
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,•       PyQt 5.10.1,,extra.info
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,•       PyQtGraph 0.11.0,,extra.info
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,Installation instructions for Linux (Ubuntu and Pop!_OS): download the Linux zip file,binary,step1.OS1
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,"from the command window, run a bash command for the install.sh file, in the corresponding installation folder. ",,step2.OS1
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,Installation instructions for Mac OS: download the Mac zip file,,step1.OS2
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,and copy the NRN-EZ app to the Applications folder. ,,step2.OS2
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,Installation instructions for Windows: download the Win zip file and,,step1.OS3
https://raw.githubusercontent.com/scimemia/NRN-EZ/master/README.md,run the installation wizard.,,step2.OS3
https://raw.githubusercontent.com/nand1155/CausNet/main/README.md,## Installation,,
https://raw.githubusercontent.com/nand1155/CausNet/main/README.md,You can install the development version from GitHub with:,source,step1
https://raw.githubusercontent.com/nand1155/CausNet/main/README.md,"require(""devtools"")",,step1.cmd1
https://raw.githubusercontent.com/nand1155/CausNet/main/README.md,"install_github(""https://github.com/nand1155/CausNet"")",,step1.cmd2
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,**Step 1 Download and preprocess the raw data**,,step1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,Note: NCBI may update its links for downloading the database. Please check the latest link at [NCBI](https://www.ncbi.nlm.nih.gov/) if you meet the download error.,,step1.extra.info
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,wget https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/ERR2282092/ERR2282092.1,,step1.cmd1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,wget https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/ERR2530126/ERR2530126.1,,step1.cmd2
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,wget https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/ERR2530127/ERR2530127.1,,step1.cmd3
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,fastq-dump --split-files --gzip ERR2282092.1,,step1.cmd4
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,fastq-dump --split-files --gzip ERR2530126.1,,step1.cmd5
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,fastq-dump --split-files --gzip ERR2530127.1,,step1.cmd6
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=ERR2282092.1_1.fastq.gz in2=ERR2282092.1_2.fastq.gz out1=COWSG1_AQ.fastq.gz out2=COWSG2_AQ.fastq.gz ref=/home1/yuxuandu/cmb/SOFTWARE/bbmap/resources/adapters.fa ktrim=r k=23 mink=11 hdist=1 minlen=50 tpe tbo,,step1.cmd7
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=ERR2530126.1_1.fastq.gz in2=ERR2530126.1_2.fastq.gz out1=S3HIC1_AQ.fastq.gz out2=S3HIC2_AQ.fastq.gz ref=/home1/yuxuandu/cmb/SOFTWARE/bbmap/resources/adapters.fa ktrim=r k=23 mink=11 hdist=1 minlen=50 tpe tbo,,step1.cmd8
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=ERR2530127.1_1.fastq.gz in2=ERR2530127.1_2.fastq.gz out1=M1HIC1_AQ.fastq.gz out2=M1HIC2_AQ.fastq.gz ref=/home1/yuxuandu/cmb/SOFTWARE/bbmap/resources/adapters.fa ktrim=r k=23 mink=11 hdist=1 minlen=50 tpe tbo,,step1.cmd9
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=S3HIC1_AQ.fastq.gz in2=S3HIC2_AQ.fastq.gz out1=S3HIC1_CL.fastq.gz out2=S3HIC2_CL.fastq.gz trimq=10 qtrim=r ftm=5 minlen=50,,step1.cmd10
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=M1HIC1_AQ.fastq.gz in2=M1HIC2_AQ.fastq.gz out1=M1HIC1_CL.fastq.gz out2=M1HIC2_CL.fastq.gz trimq=10 qtrim=r ftm=5 minlen=50,,step1.cmd11
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh  in1=COWSG1_AQ.fastq.gz in2=COWSG2_AQ.fastq.gz out1=COWSG1_CL.fastq.gz out2=COWSG2_CL.fastq.gz trimq=10 qtrim=r ftm=5 minlen=50,,step1.cmd12
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh in1=S3HIC1_CL.fastq.gz in2=S3HIC2_CL.fastq.gz out1=S3HIC1_trim.fastq.gz out2=S3HIC2_trim.fastq.gz ftl=10,,step1.cmd13
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bbduk.sh in1=M1HIC1_CL.fastq.gz in2=M1HIC2_CL.fastq.gz out1=M1HIC1_trim.fastq.gz out2=M1HIC2_trim.fastq.gz ftl=10,,step1.cmd14
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,clumpify.sh in1=S3HIC1_trim.fastq.gz in2=S3HIC2_trim.fastq.gz out1=S3HIC1_dedup.fastq.gz out2=S3HIC2_dedup.fastq.gz dedupe,,step1.cmd15
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,clumpify.sh in1=M1HIC1_trim.fastq.gz in2=M1HIC2_trim.fastq.gz out1=M1HIC1_dedup.fastq.gz out2=M1HIC2_dedup.fastq.gz dedupe,,step1.cmd16
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,cat S3HIC1_dedup.fastq.gz M1HIC1_dedup.fastq.gz > HIC1.fastq.gz,,step1.cmd17
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,cat S3HIC2_dedup.fastq.gz M1HIC2_dedup.fastq.gz > HIC2.fastq.gz,,step1.cmd18
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,**Step 2: Assemble contigs and align processed Hi-C reads to contigs**,,step2
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,"megahit -1 COWSG1_CL.fastq.gz -2 COWSG2_CL.fastq.gz -o COW_ASSEMBLY --min-contig-len 1000 --k-min 21 --k-max 141 --k-step 12 --merge-level 20,0.95",,step2.cmd1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bwa index final.contigs.fa,,step2.cmd2
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,bwa mem -5SP final.contigs.fa HIC1.fastq.gz HIC2.fastq.gz > COW_MAP.sam,,step2.cmd3
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,samtools view -F 0x904 -bS COW_MAP.sam > COW_MAP_UNSORTED.bam,,step2.cmd4
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,samtools sort -n COW_MAP_UNSORTED.bam -o COW_MAP_SORTED.bam,,step2.cmd5
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,**Step3: Identify viral contigs from assembled contigs**,,step3
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,perl removesmalls.pl 3000 final.contigs.fa > cow_3000.fa,,step3.cmd1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,wrapper_phage_contigs_sorter_iPlant.pl -f cow_3000.fa --db 1 --wdir output_directory --ncpu 16 --data-dir /panfs/qcb-panasas/yuxuandu/virsorter-data,,step3.cmd2
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,Rscript find_viral_contig.R,,step3.cmd3
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,**Step4: Run ViralCC**,,step4
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,python ./viralcc.py pipeline -v final.contigs.fa COW_MAP_SORTED.bam viral.txt out_cow,,step4.cmd1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,**Step5: Evaluation draft viral genomes using CheckV**,,step5
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,python concatenation.py -p out_cow/VIRAL_BIN -o viralCC_cow_bins.fa,,step5.cmd1
https://raw.githubusercontent.com/dyxstat/Reproduce_ViralCC/main/README.md,checkv end_to_end viralCC_cow_bins.fa output_checkv_viralcc_cow -t 16 -d /panfs/qcb-panasas/yuxuandu/checkv-db-v1.0,,step5.cmd2
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,## Requirements,,step1
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,conda create -n mgie python=3.10 -y,,step1.cmd1
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,conda activate mgie,,step1.cmd2
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,conda update -n base -c defaults conda setuptools -y,,step1.cmd3
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,conda install -c conda-forge git git-lfs ffmpeg vim htop ninja gpustat -y,,step1.cmd4
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,conda clean -a -y,,step1.cmd5
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U pip cmake cython==0.29.36 pydantic==1.10 numpy,,step1.cmd6
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U gdown pydrive2 wget jupyter jupyterlab jupyterthemes ipython,,step1.cmd7
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U sentencepiece transformers diffusers tokenizers datasets gradio==3.37 accelerate evaluate git+https://github.com/openai/CLIP.git,,step1.cmd8
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U https://download.pytorch.org/whl/cu113/torch-1.12.0%2Bcu113-cp310-cp310-linux_x86_64.whl https://download.pytorch.org/whl/cu113/torchvision-0.13.0%2Bcu113-cp310-cp310-linux_x86_64.whl https://download.pytorch.org/whl/cu113/torchaudio-0.12.0%2Bcu113-cp310-cp310-linux_x86_64.whl,,step1.cmd9
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U deepspeed,,step1.cmd10
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,# git clone this repo,,step1.cmd11
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,cd ml-mgie,,step1.cmd12
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,git submodule update --init --recursive,,step1.cmd13
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,cd LLaVA,,step1.cmd14
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -e .,,step1.cmd15
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U https://download.pytorch.org/whl/cu113/torch-1.12.0%2Bcu113-cp310-cp310-linux_x86_64.whl https://download.pytorch.org/whl/cu113/torchvision-0.13.0%2Bcu113-cp310-cp310-linux_x86_64.whl https://download.pytorch.org/whl/cu113/torchaudio-0.12.0%2Bcu113-cp310-cp310-linux_x86_64.whl,,step1.cmd16
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U ninja flash-attn==1.0.2,,step1.cmd17
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,pip install -U pydrive2 gdown wget,,step1.cmd18
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,cd ..,,step1.cmd19
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,cp mgie_llava.py LLaVA/llava/model/llava.py,,step1.cmd20
https://raw.githubusercontent.com/apple/ml-mgie/main/README.md,cp mgie_train.py LLaVA/llava/train/train.py,,step1.cmd21
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,## Setup,,
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,The following steps provide the necessary setup to run our codes.,,
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,1. Create a Python virtual environment with Conda:,source,step1
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,conda create -n myenv python=3.10,,step1.cmd1
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,conda activate myenv,,step1.cmd2
https://raw.githubusercontent.com/uclaml/SPIN/main/README.md,"2. Install PyTorch `v2.1.0` with compatible cuda version, following instructions from [PyTorch Installation Page](https://pytorch.org/get-started/locally/). For example with cuda 11:",,step2
